                                                Tanggal,Nama_Barang,Kategori,Harga_Satuan,Jumlah_Terjual,Ada_Promosi,Hari_Libur
2022-05-18,Bayam,Sayuran,5000,13,0,0
2022-05-19,Bayam,Sayuran,5000,16,0,0
2022-05-20,Bayam,Sayuran,5000,14,0,0
2022-05-21,Bayam,Sayuran,5000,24,0,0
2022-05-22,Bayam,Sayuran,5000,24,0,0
2022-05-23,Bayam,Sayuran,5000,12,0,0
2022-05-24,Bayam,Sayuran,5000,16,0,0
2022-05-25,Bayam,Sayuran,5000,19,0,0
2022-05-26,Bayam,Sayuran,5000,15,0,0
2022-05-27,Bayam,Sayuran,4500,19,1,0
2022-05-28,Bayam,Sayuran,4500,27,1,0
2022-05-29,Bayam,Sayuran,4500,29,1,0
2022-05-30,Bayam,Sayuran,5000,13,0,0
2022-05-31,Bayam,Sayuran,5000,15,0,0
2022-06-01,Bayam,Sayuran,5000,17,0,0
2022-06-02,Bayam,Sayuran,5000,18,0,0
2022-06-03,Bayam,Sayuran,5000,16,0,0
2022-06-04,Bayam,Sayuran,5000,15,0,0
2022-06-05,Bayam,Sayuran,5000,20,0,0
2022-06-06,Bayam,Sayuran,5000,16,0,0
2022-06-07,Bayam,Sayuran,5000,14,0,0
2022-06-08,Bayam,Sayuran,5000,13,0,0
2022-06-09,Bayam,Sayuran,5000,12,0,0
2022-06-10,Bayam,Sayuran,5000,18,0,0
2022-06-11,Bayam,Sayuran,5000,19,0,0
2022-06-12,Bayam,Sayuran,5000,20,0,0
2022-06-13,Bayam,Sayuran,5000,17,0,0
2022-06-14,Bayam,Sayuran,5000,16,0,0
2022-06-15,Bayam,Sayuran,5000,14,0,0
2022-06-16,Bayam,Sayuran,5000,12,0,0
2022-06-17,Bayam,Sayuran,5000,16,0,0
2022-06-18,Bayam,Sayuran,5000,19,0,0
2022-06-19,Bayam,Sayuran,5000,22,0,0
2022-06-20,Bayam,Sayuran,5000,17,0,0
2022-06-21,Bayam,Sayuran,5000,16,0,0
2022-06-22,Bayam,Sayuran,5000,15,0,0
2022-06-23,Bayam,Sayuran,5000,11,0,0
2022-06-24,Bayam,Sayuran,5000,12,0,0
2022-06-25,Bayam,Sayuran,5000,20,0,0
2022-06-26,Bayam,Sayuran,5000,19,0,0
2022-06-27,Bayam,Sayuran,5000,12,0,0
2022-06-28,Bayam,Sayuran,5000,16,0,0
2022-06-29,Bayam,Sayuran,4500,17,1,0
2022-06-30,Bayam,Sayuran,4500,21,1,0
2022-07-01,Bayam,Sayuran,4500,18,1,0
2022-07-02,Bayam,Sayuran,5000,15,0,0
2022-07-03,Bayam,Sayuran,5000,20,0,0
2022-07-04,Bayam,Sayuran,5000,14,0,0
2022-07-05,Bayam,Sayuran,5000,13,0,0
2022-07-06,Bayam,Sayuran,5000,12,0,0
2022-07-07,Bayam,Sayuran,5000,12,0,0
2022-07-08,Bayam,Sayuran,5000,16,0,0
2022-07-09,Bayam,Sayuran,5000,18,0,0
2022-07-10,Bayam,Sayuran,5000,20,0,0
2022-07-11,Bayam,Sayuran,5000,11,0,0
2022-07-12,Bayam,Sayuran,5000,16,0,0
2022-07-13,Bayam,Sayuran,5000,11,0,0
2022-07-14,Bayam,Sayuran,5000,16,0,0
2022-07-15,Bayam,Sayuran,5000,16,0,0
2022-07-16,Bayam,Sayuran,5000,16,0,0
2022-07-17,Bayam,Sayuran,5000,18,0,0
2022-07-18,Bayam,Sayuran,5000,13,0,0
2022-07-19,Bayam,Sayuran,5000,16,0,0
2022-07-20,Bayam,Sayuran,5000,13,0,0
2022-07-21,Bayam,Sayuran,5000,16,0,0
2022-07-22,Bayam,Sayuran,5000,12,0,0
2022-07-23,Bayam,Sayuran,5000,17,0,0
2022-07-24,Bayam,Sayuran,5000,17,0,0
2022-07-25,Bayam,Sayuran,5000,13,0,0
2022-07-26,Bayam,Sayuran,5000,14,0,0
2022-07-27,Bayam,Sayuran,5000,13,0,0
2022-07-28,Bayam,Sayuran,5000,16,0,0
2022-07-29,Bayam,Sayuran,5000,16,0,0
2022-07-30,Bayam,Sayuran,5000,23,0,0
2022-07-31,Bayam,Sayuran,5000,21,0,0
2022-08-01,Bayam,Sayuran,4500,25,1,0
2022-08-02,Bayam,Sayuran,4500,19,1,0
2022-08-03,Bayam,Sayuran,4500,29,1,0
2022-08-04,Bayam,Sayuran,5000,13,0,0
2022-08-05,Bayam,Sayuran,5000,16,0,0
2022-08-06,Bayam,Sayuran,5000,15,0,0
2022-08-07,Bayam,Sayuran,5000,17,0,0
2022-08-08,Bayam,Sayuran,5000,9,0,0
2022-08-09,Bayam,Sayuran,5000,14,0,0
2022-08-10,Bayam,Sayuran,5000,11,0,0
2022-08-11,Bayam,Sayuran,5000,13,0,0
2022-08-12,Bayam,Sayuran,5000,12,0,0
2022-08-13,Bayam,Sayuran,5000,18,0,0
2022-08-14,Bayam,Sayuran,5000,19,0,0
2022-08-15,Bayam,Sayuran,5000,16,0,0
2022-08-16,Bayam,Sayuran,5000,15,0,0
2022-08-17,Bayam,Sayuran,5000,19,0,0
2022-08-18,Bayam,Sayuran,5000,16,0,0
2022-08-19,Bayam,Sayuran,5000,14,0,0
2022-08-20,Bayam,Sayuran,5000,21,0,0
2022-08-21,Bayam,Sayuran,5000,18,0,0
2022-08-22,Bayam,Sayuran,5000,16,0,0
2022-08-23,Bayam,Sayuran,5000,15,0,0
2022-08-24,Bayam,Sayuran,5000,19,0,0
2022-08-25,Bayam,Sayuran,5000,13,0,0
2022-08-26,Bayam,Sayuran,5000,12,0,0
2022-08-27,Bayam,Sayuran,5000,21,0,0
2022-08-28,Bayam,Sayuran,5000,20,0,0
2022-08-29,Bayam,Sayuran,5000,14,0,0
2022-08-30,Bayam,Sayuran,5000,15,0,0
2022-08-31,Bayam,Sayuran,5000,19,0,0
2022-09-01,Bayam,Sayuran,5000,15,0,0
2022-09-02,Bayam,Sayuran,5000,15,0,0
2022-09-03,Bayam,Sayuran,4500,37,1,0
2022-09-04,Bayam,Sayuran,4500,21,1,0
2022-09-05,Bayam,Sayuran,4500,23,1,0
2022-09-06,Bayam,Sayuran,5000,18,0,0
2022-09-07,Bayam,Sayuran,5000,17,0,0
2022-09-08,Bayam,Sayuran,5000,15,0,0
2022-09-09,Bayam,Sayuran,5000,15,0,0
2022-09-10,Bayam,Sayuran,5000,21,0,0
2022-09-11,Bayam,Sayuran,5000,23,0,0
2022-09-12,Bayam,Sayuran,5000,21,0,0
2022-09-13,Bayam,Sayuran,5000,17,0,0
2022-09-14,Bayam,Sayuran,5000,16,0,0
2022-09-15,Bayam,Sayuran,5000,20,0,0
2022-09-16,Bayam,Sayuran,5000,18,0,0
2022-09-17,Bayam,Sayuran,5000,26,0,0
2022-09-18,Bayam,Sayuran,5000,22,0,0
2022-09-19,Bayam,Sayuran,5000,14,0,0
2022-09-20,Bayam,Sayuran,5000,21,0,0
2022-09-21,Bayam,Sayuran,5000,16,0,0
2022-09-22,Bayam,Sayuran,5000,18,0,0
2022-09-23,Bayam,Sayuran,5000,21,0,0
2022-09-24,Bayam,Sayuran,5000,22,0,0
2022-09-25,Bayam,Sayuran,5000,27,0,0
2022-09-26,Bayam,Sayuran,5000,15,0,0
2022-09-27,Bayam,Sayuran,5000,17,0,0
2022-09-28,Bayam,Sayuran,5000,21,0,0
2022-09-29,Bayam,Sayuran,5000,21,0,0
2022-09-30,Bayam,Sayuran,5000,18,0,0
2022-10-01,Bayam,Sayuran,5000,20,0,0
2022-10-02,Bayam,Sayuran,5000,26,0,0
2022-10-03,Bayam,Sayuran,5000,23,0,0
2022-10-04,Bayam,Sayuran,5000,21,0,0
2022-10-05,Bayam,Sayuran,5000,20,0,0
2022-10-06,Bayam,Sayuran,4500,29,1,0
2022-10-07,Bayam,Sayuran,4500,34,1,0
2022-10-08,Bayam,Sayuran,4500,41,1,0
2022-10-09,Bayam,Sayuran,5000,21,0,0
2022-10-10,Bayam,Sayuran,5000,18,0,0
2022-10-11,Bayam,Sayuran,5000,21,0,0
2022-10-12,Bayam,Sayuran,5000,18,0,0
2022-10-13,Bayam,Sayuran,5000,23,0,0
2022-10-14,Bayam,Sayuran,5000,19,0,0
2022-10-15,Bayam,Sayuran,5000,22,0,0
2022-10-16,Bayam,Sayuran,5000,21,0,0
2022-10-17,Bayam,Sayuran,5000,18,0,0
2022-10-18,Bayam,Sayuran,5000,16,0,0
2022-10-19,Bayam,Sayuran,5000,21,0,0
2022-10-20,Bayam,Sayuran,5000,17,0,0
2022-10-21,Bayam,Sayuran,5000,21,0,0
2022-10-22,Bayam,Sayuran,5000,29,0,0
2022-10-23,Bayam,Sayuran,5000,31,0,0
2022-10-24,Bayam,Sayuran,5000,24,0,0
2022-10-25,Bayam,Sayuran,5000,22,0,0
2022-10-26,Bayam,Sayuran,5000,23,0,0
2022-10-27,Bayam,Sayuran,5000,22,0,0
2022-10-28,Bayam,Sayuran,5000,25,0,0
2022-10-29,Bayam,Sayuran,5000,20,0,0
2022-10-30,Bayam,Sayuran,5000,25,0,0
2022-10-31,Bayam,Sayuran,5000,22,0,0
2022-11-01,Bayam,Sayuran,5000,22,0,0
2022-11-02,Bayam,Sayuran,5000,24,0,0
2022-11-03,Bayam,Sayuran,5000,27,0,0
2022-11-04,Bayam,Sayuran,5000,16,0,0
2022-11-05,Bayam,Sayuran,5000,21,0,0
2022-11-06,Bayam,Sayuran,5000,29,0,0
2022-11-07,Bayam,Sayuran,5000,30,0,0
2022-11-08,Bayam,Sayuran,4500,37,1,0
2022-11-09,Bayam,Sayuran,4500,25,1,0
2022-11-10,Bayam,Sayuran,4500,33,1,0
2022-11-11,Bayam,Sayuran,5000,26,0,0
2022-11-12,Bayam,Sayuran,5000,24,0,0
2022-11-13,Bayam,Sayuran,5000,30,0,0
2022-11-14,Bayam,Sayuran,5000,21,0,0
2022-11-15,Bayam,Sayuran,5000,19,0,0
2022-11-16,Bayam,Sayuran,5000,23,0,0
2022-11-17,Bayam,Sayuran,5000,33,0,0
2022-11-18,Bayam,Sayuran,5000,23,0,0
2022-11-19,Bayam,Sayuran,5000,29,0,0
2022-11-20,Bayam,Sayuran,5000,28,0,0
2022-11-21,Bayam,Sayuran,5000,20,0,0
2022-11-22,Bayam,Sayuran,5000,23,0,0
2022-11-23,Bayam,Sayuran,5000,26,0,0
2022-11-24,Bayam,Sayuran,5000,26,0,0
2022-11-25,Bayam,Sayuran,5000,26,0,0
2022-11-26,Bayam,Sayuran,5000,21,0,0
2022-11-27,Bayam,Sayuran,5000,26,0,0
2022-11-28,Bayam,Sayuran,5000,22,0,0
2022-11-29,Bayam,Sayuran,5000,23,0,0
2022-11-30,Bayam,Sayuran,5000,17,0,0
2022-12-01,Bayam,Sayuran,5000,25,0,0
2022-12-02,Bayam,Sayuran,5000,30,0,0
2022-12-03,Bayam,Sayuran,5000,35,0,0
2022-12-04,Bayam,Sayuran,5000,35,0,0
2022-12-05,Bayam,Sayuran,5000,24,0,0
2022-12-06,Bayam,Sayuran,5000,23,0,0
2022-12-07,Bayam,Sayuran,5000,28,0,0
2022-12-08,Bayam,Sayuran,5000,29,0,0
2022-12-09,Bayam,Sayuran,5000,21,0,0
2022-12-10,Bayam,Sayuran,5000,28,0,0
2022-12-11,Bayam,Sayuran,4500,49,1,0
2022-12-12,Bayam,Sayuran,4500,41,1,0
2022-12-13,Bayam,Sayuran,4500,45,1,0
2022-12-14,Bayam,Sayuran,5000,26,0,0
2022-12-15,Bayam,Sayuran,5000,26,0,0
2022-12-16,Bayam,Sayuran,5000,30,0,0
2022-12-17,Bayam,Sayuran,5000,36,0,0
2022-12-18,Bayam,Sayuran,5000,28,0,0
2022-12-19,Bayam,Sayuran,5000,29,0,0
2022-12-20,Bayam,Sayuran,5000,24,0,0
2022-12-21,Bayam,Sayuran,5000,31,0,0
2022-12-22,Bayam,Sayuran,5000,29,0,0
2022-12-23,Bayam,Sayuran,5000,27,0,0
2022-12-24,Bayam,Sayuran,5000,25,0,0
2022-12-25,Bayam,Sayuran,5000,36,0,1
2022-12-26,Bayam,Sayuran,5000,29,0,0
2022-12-27,Bayam,Sayuran,5000,31,0,0
2022-12-28,Bayam,Sayuran,5000,29,0,0
2022-12-29,Bayam,Sayuran,5000,23,0,0
2022-12-30,Bayam,Sayuran,5000,25,0,0
2022-12-31,Bayam,Sayuran,5000,30,0,0
2023-01-01,Bayam,Sayuran,5000,51,0,1
2023-01-02,Bayam,Sayuran,5000,32,0,0
2023-01-03,Bayam,Sayuran,5000,21,0,0
2023-01-04,Bayam,Sayuran,5000,22,0,0
2023-01-05,Bayam,Sayuran,5000,27,0,0
2023-01-06,Bayam,Sayuran,5000,27,0,0
2023-01-07,Bayam,Sayuran,5000,37,0,0
2023-01-08,Bayam,Sayuran,5000,36,0,0
2023-01-09,Bayam,Sayuran,5000,24,0,0
2023-01-10,Bayam,Sayuran,5000,25,0,0
2023-01-11,Bayam,Sayuran,5000,26,0,0
2023-01-12,Bayam,Sayuran,5000,29,0,0
2023-01-13,Bayam,Sayuran,4500,43,1,0
2023-01-14,Bayam,Sayuran,4500,63,1,0
2023-01-15,Bayam,Sayuran,4500,43,1,0
2023-01-16,Bayam,Sayuran,5000,32,0,0
2023-01-17,Bayam,Sayuran,5000,34,0,0
2023-01-18,Bayam,Sayuran,5000,32,0,0
2023-01-19,Bayam,Sayuran,5000,28,0,0
2023-01-20,Bayam,Sayuran,5000,25,0,0
2023-01-21,Bayam,Sayuran,5000,30,0,0
2023-01-22,Bayam,Sayuran,5000,30,0,0
2023-01-23,Bayam,Sayuran,5000,27,0,0
2023-01-24,Bayam,Sayuran,5000,20,0,0
2023-01-25,Bayam,Sayuran,5000,26,0,0
2023-01-26,Bayam,Sayuran,5000,34,0,0
2023-01-27,Bayam,Sayuran,5000,33,0,0
2023-01-28,Bayam,Sayuran,5000,31,0,0
2023-01-29,Bayam,Sayuran,5000,32,0,0
2023-01-30,Bayam,Sayuran,5000,23,0,0
2023-01-31,Bayam,Sayuran,5000,28,0,0
2023-02-01,Bayam,Sayuran,5000,26,0,0
2023-02-02,Bayam,Sayuran,5000,18,0,0
2023-02-03,Bayam,Sayuran,5000,29,0,0
2023-02-04,Bayam,Sayuran,5000,32,0,0
2023-02-05,Bayam,Sayuran,5000,31,0,0
2023-02-06,Bayam,Sayuran,5000,26,0,0
2023-02-07,Bayam,Sayuran,5000,30,0,0
2023-02-08,Bayam,Sayuran,5000,26,0,0
2023-02-09,Bayam,Sayuran,5000,28,0,0
2023-02-10,Bayam,Sayuran,5000,28,0,0
2023-02-11,Bayam,Sayuran,5000,32,0,0
2023-02-12,Bayam,Sayuran,5000,26,0,0
2023-02-13,Bayam,Sayuran,5000,33,0,0
2023-02-14,Bayam,Sayuran,5000,21,0,0
2023-02-15,Bayam,Sayuran,4500,38,1,0
2023-02-16,Bayam,Sayuran,4500,31,1,0
2023-02-17,Bayam,Sayuran,4500,37,1,0
2023-02-18,Bayam,Sayuran,5000,29,0,0
2023-02-19,Bayam,Sayuran,5000,32,0,0
2023-02-20,Bayam,Sayuran,5000,22,0,0
2023-02-21,Bayam,Sayuran,5000,28,0,0
2023-02-22,Bayam,Sayuran,5000,27,0,0
2023-02-23,Bayam,Sayuran,5000,28,0,0
2023-02-24,Bayam,Sayuran,5000,30,0,0
2023-02-25,Bayam,Sayuran,5000,38,0,0
2023-02-26,Bayam,Sayuran,5000,29,0,0
2023-02-27,Bayam,Sayuran,5000,27,0,0
2023-02-28,Bayam,Sayuran,5000,23,0,0
2023-03-01,Bayam,Sayuran,5000,29,0,0
2023-03-02,Bayam,Sayuran,5000,21,0,0
2023-03-03,Bayam,Sayuran,5000,21,0,0
2023-03-04,Bayam,Sayuran,5000,25,0,0
2023-03-05,Bayam,Sayuran,5000,28,0,0
2023-03-06,Bayam,Sayuran,5000,29,0,0
2023-03-07,Bayam,Sayuran,5000,24,0,0
2023-03-08,Bayam,Sayuran,5000,22,0,0
2023-03-09,Bayam,Sayuran,5000,27,0,0
2023-03-10,Bayam,Sayuran,5000,26,0,0
2023-03-11,Bayam,Sayuran,5000,29,0,0
2023-03-12,Bayam,Sayuran,5000,26,0,0
2023-03-13,Bayam,Sayuran,5000,26,0,0
2023-03-14,Bayam,Sayuran,5000,28,0,0
2023-03-15,Bayam,Sayuran,5000,20,0,0
2023-03-16,Bayam,Sayuran,5000,30,0,0
2023-03-17,Bayam,Sayuran,5000,25,0,0
2023-03-18,Bayam,Sayuran,5000,28,0,0
2023-03-19,Bayam,Sayuran,5000,22,0,0
2023-03-20,Bayam,Sayuran,4500,35,1,0
2023-03-21,Bayam,Sayuran,4500,41,1,0
2023-03-22,Bayam,Sayuran,4500,19,1,0
2023-03-23,Bayam,Sayuran,5000,20,0,0
2023-03-24,Bayam,Sayuran,5000,24,0,0
2023-03-25,Bayam,Sayuran,5000,33,0,0
2023-03-26,Bayam,Sayuran,5000,26,0,0
2023-03-27,Bayam,Sayuran,5000,22,0,0
2023-03-28,Bayam,Sayuran,5000,19,0,0
2023-03-29,Bayam,Sayuran,5000,30,0,0
2023-03-30,Bayam,Sayuran,5000,25,0,0
2023-03-31,Bayam,Sayuran,5000,20,0,0
2023-04-01,Bayam,Sayuran,5000,24,0,0
2023-04-02,Bayam,Sayuran,5000,22,0,0
2023-04-03,Bayam,Sayuran,5000,18,0,0
2023-04-04,Bayam,Sayuran,5000,23,0,0
2023-04-05,Bayam,Sayuran,5000,27,0,0
2023-04-06,Bayam,Sayuran,5000,25,0,0
2023-04-07,Bayam,Sayuran,5000,26,0,0
2023-04-08,Bayam,Sayuran,5000,21,0,0
2023-04-09,Bayam,Sayuran,5000,26,0,0
2023-04-10,Bayam,Sayuran,5000,18,0,0
2023-04-11,Bayam,Sayuran,5000,22,0,0
2023-04-12,Bayam,Sayuran,5000,17,0,0
2023-04-13,Bayam,Sayuran,5000,17,0,0
2023-04-14,Bayam,Sayuran,5000,25,0,0
2023-04-15,Bayam,Sayuran,5000,29,0,0
2023-04-16,Bayam,Sayuran,5000,27,0,0
2023-04-17,Bayam,Sayuran,5000,21,0,0
2023-04-18,Bayam,Sayuran,5000,20,0,0
2023-04-19,Bayam,Sayuran,5000,21,0,0
2023-04-20,Bayam,Sayuran,5000,18,0,0
2023-04-21,Bayam,Sayuran,5000,19,0,0
2023-04-22,Bayam,Sayuran,4500,40,1,1
2023-04-23,Bayam,Sayuran,4500,28,1,1
2023-04-24,Bayam,Sayuran,4500,33,1,0
2023-04-25,Bayam,Sayuran,5000,18,0,0
2023-04-26,Bayam,Sayuran,5000,19,0,0
2023-04-27,Bayam,Sayuran,5000,19,0,0
2023-04-28,Bayam,Sayuran,5000,19,0,0
2023-04-29,Bayam,Sayuran,5000,23,0,0
2023-04-30,Bayam,Sayuran,5000,22,0,0
2023-05-01,Bayam,Sayuran,5000,17,0,0
2023-05-02,Bayam,Sayuran,5000,17,0,0
2023-05-03,Bayam,Sayuran,5000,20,0,0
2023-05-04,Bayam,Sayuran,5000,20,0,0
2023-05-05,Bayam,Sayuran,5000,15,0,0
2023-05-06,Bayam,Sayuran,5000,19,0,0
2023-05-07,Bayam,Sayuran,5000,28,0,0
2023-05-08,Bayam,Sayuran,5000,21,0,0
2023-05-09,Bayam,Sayuran,5000,18,0,0
2023-05-10,Bayam,Sayuran,5000,22,0,0
2023-05-11,Bayam,Sayuran,5000,19,0,0
2023-05-12,Bayam,Sayuran,5000,18,0,0
2023-05-13,Bayam,Sayuran,5000,22,0,0
2023-05-14,Bayam,Sayuran,5000,16,0,0
2023-05-15,Bayam,Sayuran,5000,17,0,0
2023-05-16,Bayam,Sayuran,5000,15,0,0
2023-05-17,Bayam,Sayuran,5000,16,0,0
2023-05-18,Bayam,Sayuran,5000,17,0,0
2023-05-19,Bayam,Sayuran,5000,16,0,0
2023-05-20,Bayam,Sayuran,5000,22,0,0
2023-05-21,Bayam,Sayuran,5000,20,0,0
2023-05-22,Bayam,Sayuran,5000,19,0,0
2023-05-23,Bayam,Sayuran,5000,20,0,0
2023-05-24,Bayam,Sayuran,5000,21,0,0
2023-05-25,Bayam,Sayuran,4500,25,1,0
2023-05-26,Bayam,Sayuran,4500,24,1,0
2023-05-27,Bayam,Sayuran,4500,30,1,0
2023-05-28,Bayam,Sayuran,5000,23,0,0
2023-05-29,Bayam,Sayuran,5000,18,0,0
